@RELATION training_BOOKKEEPER_4.1.0

@ATTRIBUTE numberRevision NUMERIC
@ATTRIBUTE locAdded NUMERIC
@ATTRIBUTE avgLocAdded NUMERIC
@ATTRIBUTE maxLocAdded NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE chgSetSize NUMERIC
@ATTRIBUTE avgChgSetSize NUMERIC
@ATTRIBUTE maxChgSetSize NUMERIC
@ATTRIBUTE authors NUMERIC
@ATTRIBUTE class {BUG,NO_BUG}

@DATA
2,134,67,104,104,342,171.0,281,2,NO_BUG
1,35,35,35,35,282,282.0,281,1,BUG
2,99,49,98,98,342,171.0,281,2,NO_BUG
3,94,31,78,79,349,116.333336,281,2,NO_BUG
4,208,52,187,197,350,87.5,281,3,BUG
2,81,40,75,75,342,171.0,281,2,BUG
1,28,28,28,28,282,282.0,281,1,NO_BUG
2,54,27,52,52,342,171.0,281,2,BUG
3,506,168,428,429,349,116.333336,281,2,BUG
4,472,118,450,452,349,87.25,281,2,BUG
1,39,39,39,39,282,282.0,281,1,NO_BUG
2,82,41,78,78,342,171.0,281,2,NO_BUG
2,65,32,64,64,342,171.0,281,2,BUG
2,32,16,31,31,342,171.0,281,2,NO_BUG
2,61,30,57,57,342,171.0,281,2,NO_BUG
2,111,55,104,104,342,171.0,281,2,BUG
1,32,32,32,32,282,282.0,281,1,BUG
3,279,93,226,227,349,116.333336,281,2,NO_BUG
1,53,53,53,53,282,282.0,281,1,NO_BUG
2,50,25,48,48,287,143.5,281,2,NO_BUG
2,61,30,60,60,342,171.0,281,2,NO_BUG
3,76,25,70,70,346,115.333336,281,2,NO_BUG
4,202,50,180,183,353,88.25,281,2,BUG
2,127,63,124,124,342,171.0,281,2,NO_BUG
4,167,41,159,160,353,88.25,281,2,BUG
2,41,20,36,36,342,171.0,281,2,BUG
2,60,30,57,58,328,164.0,281,2,NO_BUG
1,62,62,62,62,282,282.0,281,1,NO_BUG
4,142,35,129,130,353,88.25,281,2,BUG
2,76,38,73,74,328,164.0,281,2,BUG
3,86,28,82,83,349,116.333336,281,2,NO_BUG
1,74,74,74,74,282,282.0,281,1,NO_BUG
3,886,295,736,737,349,116.333336,281,2,BUG
2,76,38,74,74,342,171.0,281,2,NO_BUG
3,97,32,93,94,349,116.333336,281,2,NO_BUG
1,22,22,22,22,282,282.0,281,1,NO_BUG
